Value_SP500_REAL_PRICE_MONTH,Value_SP500_DIV_YIELD_MONTH,Value_SP500_PE_RATIO_MONTH,Value_SHILLER_PE_RATIO_MONTH,Value_SP500_EARNINGS_YIELD_MONTH,Value_SP500_INFLADJ_MONTH,Value_SP500_PSR_QUARTER,Value_SP500_DIV_MONTH,Value_SP500_DIV_YEAR,Value_SP500_DIV_GROWTH_YEAR,Value_SP500_DIV_GROWTH_QUARTER,Value_SP500_PBV_RATIO_QUARTER,Value_SHILLER_PE_RATIO_YEAR,Value_SP500_PE_RATIO_YEAR,Value_SP500_DIV_YIELD_YEAR,Value_SP500_PSR_YEAR,Value_SP500_EARNINGS_YIELD_YEAR,Value_SP500_PBV_RATIO_YEAR,Value_SP500_INFLADJ_YEAR,Value_SP500_SALES_YEAR,Value_SP500_SALES_GROWTH_YEAR,Value_SP500_SALES_QUARTER,Value_SP500_REAL_SALES_GROWTH_QUARTER,Value_SP500_SALES_GROWTH_QUARTER,Value_SP500_REAL_SALES_GROWTH_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_YEAR,Value_SP500_REAL_SALES_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_QUARTER,Value_SP500_EARNINGS_GROWTH_QUARTER,Value_SP500_REAL_SALES_QUARTER,Value_SP500_EARNINGS_MONTH,Value_SP500_BVPS_YEAR,Value_SP500_EARNINGS_YEAR,Value_SP500_EARNINGS_GROWTH_YEAR,Value_SP500_BVPS_QUARTER
,6.88,,,,,,6.75,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,
4.73,,10.28,11.43,9.73,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.98,,,,,,6.75,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,
4.6,,10.0,11.26,10.0,95.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.17,,,,,,6.85,,,,,,,,,,,,,,,,,,,,,,,9.55,,,,
4.48,,9.74,11.02,10.27,93.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.37,,,,,,6.91,,,,,,,,,,,,,,,,,,,,,,,9.63,,,,
4.46,,9.7,11.19,10.31,95.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.4,,,,,,7.07,,,,,,,,,,,,,,,,,,,,,,,9.86,,,,
4.46,,9.7,11.07,10.31,94.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.4,,,,,,7.02,,,,,,,,,,,,,,,,,,,,,,,9.78,,,,
4.47,,9.72,11.14,10.29,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.38,,,,,,7.07,,,,,,,,,,,,,,,,,,,,,,,9.86,,,,
4.54,,9.87,11.28,10.13,97.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.27,,,,,,7.07,,,,,,,,,,,,,,,,,,,,,,,9.86,,,,
4.53,,9.85,11.4,10.15,98.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.28,,,,,,7.19,,,,,,,,,,,,,,,,,,,,,,,10.02,,,,
4.57,,9.93,11.56,10.07,100.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.22,,,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,10.11,,,,
4.54,,9.87,11.45,10.13,99.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.27,,,,,,7.25,7.25,,,,,,7.27,,,,,,,,,,,,,,,,10.11,,10.11,,
4.54,,10.05,11.41,9.95,99.75,,,,,,,11.41,10.05,,,9.95,,99.75,,,,,,,,,,,,,,,,
,7.21,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,9.92,,,,
4.53,,10.22,11.35,9.79,99.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.17,,,,,,7.14,,,,,,,,,,,,,,,,,,,,,,,9.74,,,,
4.59,,10.55,11.48,9.48,100.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.03,,,,,,7.09,,,,,,,,,,,,,,,,,,,,,,,9.56,,,,
4.65,,10.9,11.51,9.18,101.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.88,,,,,,6.97,,,,,,,,,,,,,,,,,,,,,,,9.29,,,,
4.47,,10.69,11.33,9.36,99.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.1,,,,,,7.09,,,,,,,,,,,,,,,,,,,,,,,9.34,,,,
4.38,,10.68,11.28,9.36,99.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.19,,,,,,7.16,,,,,,,,,,,,,,,,,,,,,,,9.32,,,,
4.39,,10.93,11.29,9.15,99.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.12,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,9.13,,,,
4.41,,11.21,11.24,8.92,99.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.03,,,,,,6.98,,,,,,,,,,,,,,,,,,,,,,,8.86,,,,
4.37,,11.35,11.24,8.81,99.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.04,,,,,,6.99,,,,,,,,,,,,,,,,,,,,,,,8.75,,,,
4.3,,11.41,11.06,8.76,97.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.09,,,,,,6.93,,,,,,,,,,,,,,,,,,,,,,,8.56,,,,
4.37,,11.87,11.34,8.43,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.92,,,,,,6.93,,,,,,,,,,,,,,,,,,,,,,,8.44,,,,
4.37,,12.14,11.45,8.24,101.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.86,,,,,,6.93,6.93,,,,,,6.86,,,,,,,,,,,,,,,,8.32,,8.32,,
4.46,,12.62,11.79,7.92,103.95,,,,,,,11.79,12.62,,,7.92,,103.95,,,,,,,,,,,,,,,,
,6.73,,,,,,6.99,,,,,,,,,,,,,,,,,,,,,,,8.23,,,,
4.52,,13.04,11.96,7.67,105.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.64,,,,,,6.99,,,,,,,,,,,,,,,,,,,,,,,8.08,,,,
4.51,,13.26,11.95,7.54,105.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.65,,,,,,6.99,,,,,,,,,,,,,,,,,,,,,,,7.92,,,,
