Value_SP500_REAL_PRICE_MONTH,Value_SP500_DIV_YIELD_MONTH,Value_SP500_PE_RATIO_MONTH,Value_SHILLER_PE_RATIO_MONTH,Value_SP500_EARNINGS_YIELD_MONTH,Value_SP500_INFLADJ_MONTH,Value_SP500_PSR_QUARTER,Value_SP500_DIV_MONTH,Value_SP500_DIV_YEAR,Value_SP500_DIV_GROWTH_YEAR,Value_SP500_DIV_GROWTH_QUARTER,Value_SP500_PBV_RATIO_QUARTER,Value_SHILLER_PE_RATIO_YEAR,Value_SP500_PE_RATIO_YEAR,Value_SP500_DIV_YIELD_YEAR,Value_SP500_PSR_YEAR,Value_SP500_EARNINGS_YIELD_YEAR,Value_SP500_PBV_RATIO_YEAR,Value_SP500_INFLADJ_YEAR,Value_SP500_SALES_YEAR,Value_SP500_SALES_GROWTH_YEAR,Value_SP500_SALES_QUARTER,Value_SP500_REAL_SALES_GROWTH_QUARTER,Value_SP500_SALES_GROWTH_QUARTER,Value_SP500_REAL_SALES_GROWTH_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_YEAR,Value_SP500_REAL_SALES_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_QUARTER,Value_SP500_EARNINGS_GROWTH_QUARTER,Value_SP500_REAL_SALES_QUARTER,Value_SP500_EARNINGS_MONTH,Value_SP500_BVPS_YEAR,Value_SP500_EARNINGS_YEAR,Value_SP500_EARNINGS_GROWTH_YEAR,Value_SP500_BVPS_QUARTER
4.86,5.455,12.07,11.9,8.28,97.16,1.77,5.23,5.2275,13.38,13.38,5.05,11.9,12.07,5.507916666666667,1.77,8.28,5.05,97.16,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.025,290.68,8.016666666666667,-3.71,290.68
4.87,5.42,12.06,11.93,8.29,97.36,1.77,5.26,5.255,13.38,13.38,5.05,11.914583333333333,12.059583333333334,5.525833333333334,1.77,8.2875,5.05,97.2725,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.05,290.68,8.033333333333333,-3.71,290.68
4.88,5.445,12.05,11.96,8.3,97.56,1.77,5.295,5.282500000000001,13.38,13.38,5.05,11.929166666666667,12.049166666666666,5.54375,1.77,8.295,5.05,97.38499999999999,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.075,290.68,8.05,-3.71,290.68
4.96,5.47,12.21,12.07,8.195,98.41,1.77,5.33,5.3100000000000005,13.38,13.38,5.05,11.94375,12.03875,5.5616666666666665,1.77,8.3025,5.05,97.4975,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.1,290.68,8.066666666666666,-3.71,290.68
5.04,5.415,12.37,12.18,8.09,99.26,1.77,5.325,5.3375,13.38,13.38,5.05,11.958333333333334,12.028333333333334,5.579583333333334,1.77,8.309999999999999,5.05,97.61,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.065,290.68,8.083333333333334,-3.71,290.68
5.109999999999999,5.36,12.5,12.215,8.004999999999999,99.515,1.77,5.32,5.365,13.38,13.38,5.05,11.972916666666666,12.017916666666666,5.5975,1.77,8.317499999999999,5.05,97.7225,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.03,290.68,8.1,-3.71,290.68
5.18,5.32,12.63,12.25,7.92,99.77,1.77,5.29,5.3925,13.38,13.38,5.05,11.9875,12.0075,5.6154166666666665,1.77,8.325,5.05,97.835,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,7.965,290.68,8.116666666666667,-3.71,290.68
5.18,5.28,12.595,12.265,7.9399999999999995,99.77,1.77,5.26,5.42,13.38,13.38,5.05,12.002083333333333,11.997083333333334,5.633333333333334,1.77,8.3325,5.05,97.94749999999999,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,7.9,290.68,8.133333333333333,-3.71,290.68
5.18,5.3100000000000005,12.56,12.28,7.96,99.77,1.77,5.295,5.4475,13.38,13.38,5.05,12.016666666666667,11.986666666666666,5.65125,1.77,8.34,5.05,98.06,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,7.92,290.68,8.15,-3.71,290.68
5.154999999999999,5.34,12.46,12.274999999999999,8.025,99.66499999999999,1.77,5.33,5.4750000000000005,13.38,13.38,5.05,12.03125,11.97625,5.6691666666666665,1.77,8.3475,5.05,98.1725,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,7.94,290.68,8.166666666666666,-3.71,290.68
5.13,5.4,12.36,12.27,8.09,99.56,1.77,5.38,5.5025,13.38,13.38,5.05,12.045833333333334,11.965833333333334,5.687083333333334,1.77,8.355,5.05,98.285,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,7.995000000000001,290.68,8.183333333333334,-3.71,290.68
5.115,5.46,12.29,12.325,8.14,100.0,1.77,5.43,5.53,13.38,13.38,5.05,12.060416666666667,11.955416666666666,5.705,1.77,8.3625,5.05,98.3975,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.05,290.68,8.2,-3.71,290.68
5.1,5.505,12.22,12.38,8.19,100.44,1.77,5.505,5.5575,13.38,13.38,5.05,12.075,11.945,5.722916666666666,1.77,8.370000000000001,5.05,98.50999999999999,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.135000000000002,290.68,8.216666666666667,-3.71,290.68
5.07,5.55,12.11,12.255,8.26,99.47,1.77,5.58,5.585,13.38,13.38,5.05,12.089583333333334,11.934583333333334,5.740833333333334,1.77,8.3775,5.05,98.6225,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.22,290.68,8.233333333333334,-3.71,290.68
5.04,5.62,12.0,12.13,8.33,98.5,1.77,5.59,5.612500000000001,13.38,13.38,5.05,12.104166666666666,11.924166666666666,5.75875,1.77,8.385,5.05,98.735,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.215,290.68,8.25,-3.71,290.68
4.995,5.69,11.86,11.98,8.434999999999999,97.285,1.77,5.6,5.640000000000001,13.38,13.38,5.05,12.11875,11.91375,5.776666666666666,1.77,8.3925,5.05,98.8475,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.21,290.68,8.266666666666667,-3.71,290.68
4.95,5.775,11.72,11.83,8.54,96.07,1.77,5.615,5.6675,13.38,13.38,5.05,12.133333333333333,11.903333333333334,5.794583333333334,1.77,8.4,5.05,98.96,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.205,290.68,8.283333333333333,-3.71,290.68
4.96,5.86,11.705,11.98,8.545,97.32499999999999,1.77,5.63,5.695,13.38,13.38,5.05,12.147916666666667,11.892916666666666,5.8125,1.77,8.4075,5.05,99.0725,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.2,290.68,8.3,-3.71,290.68
4.97,5.880000000000001,11.69,12.13,8.55,98.58,1.77,5.725,5.7225,13.38,13.38,5.05,12.1625,11.8825,5.830416666666666,1.77,8.415000000000001,5.05,99.185,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.315,290.68,8.316666666666666,-3.71,290.68
4.96,5.9,11.635,11.920000000000002,8.595,96.96000000000001,1.77,5.82,5.75,13.38,13.38,5.05,12.177083333333334,11.872083333333334,5.848333333333334,1.77,8.422500000000001,5.05,99.2975,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.43,290.68,8.333333333333334,-3.71,290.68
4.95,5.945,11.58,11.71,8.64,95.34,1.77,5.765000000000001,5.7775,13.38,13.38,5.05,12.191666666666666,11.861666666666666,5.86625,1.77,8.43,5.05,99.41,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.33,290.68,8.35,-3.71,290.68
5.01,5.99,11.684999999999999,11.940000000000001,8.56,97.21000000000001,1.77,5.71,5.805000000000001,13.38,13.38,5.05,12.20625,11.85125,5.884166666666666,1.77,8.4375,5.05,99.5225,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.23,290.68,8.366666666666667,-3.71,290.68
5.07,5.955,11.79,12.17,8.48,99.08,1.77,5.785,5.8325000000000005,13.38,13.38,5.05,12.220833333333333,11.840833333333334,5.902083333333334,1.77,8.445,5.05,99.635,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.315000000000001,290.68,8.383333333333333,-3.71,290.68
5.09,5.92,11.805,12.21,8.47,99.47,1.77,5.86,5.86,13.38,13.38,5.05,12.235416666666667,11.830416666666666,5.92,1.77,8.4525,5.05,99.7475,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.4,290.68,8.4,-3.71,290.68
5.11,5.92,11.82,12.25,8.46,99.86,1.77,5.885,5.90125,13.38,13.38,5.05,12.25,11.82,5.984583333333333,1.77,8.46,5.05,99.86,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.425,290.68,8.447916666666668,-3.71,290.68
5.130000000000001,5.92,11.83,12.15,8.455,99.15,1.77,5.91,5.9425,13.38,13.38,5.05,12.211666666666666,11.749583333333334,6.049166666666666,1.77,8.51875,5.05,99.66875,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.45,290.68,8.495833333333334,-3.71,290.68
5.15,5.92,11.84,12.05,8.45,98.44,1.77,5.87,5.983750000000001,13.38,13.38,5.05,12.173333333333334,11.679166666666667,6.11375,1.77,8.5775,5.05,99.47749999999999,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.379999999999999,290.68,8.543750000000001,-3.71,290.68
5.130000000000001,5.92,11.76,12.0,8.504999999999999,98.06,1.77,5.83,6.025,13.38,13.38,5.05,12.135,11.60875,6.178333333333333,1.77,8.63625,5.05,99.28625,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.31,290.68,8.591666666666667,-3.71,290.68
5.11,5.97,11.68,11.95,8.56,97.68,1.77,5.855,6.06625,13.38,13.38,5.05,12.096666666666668,11.538333333333334,6.242916666666667,1.77,8.695,5.05,99.095,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.335,290.68,8.639583333333334,-3.71,290.68
5.075,6.02,11.565,11.864999999999998,8.645,97.01,1.77,5.88,6.1075,13.38,13.38,5.05,12.058333333333334,11.467916666666667,6.3075,1.77,8.75375,5.05,98.90375,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.36,290.68,8.6875,-3.71,290.68
5.04,6.085,11.45,11.78,8.73,96.34,1.77,5.904999999999999,6.14875,13.38,13.38,5.05,12.02,11.3975,6.372083333333333,1.77,8.8125,5.05,98.7125,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.385,290.68,8.735416666666667,-3.71,290.68
5.045,6.15,11.43,11.915,8.745000000000001,97.515,1.77,5.93,6.19,13.38,13.38,5.05,11.981666666666667,11.327083333333334,6.4366666666666665,1.77,8.87125,5.05,98.52125,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.41,290.68,8.783333333333333,-3.71,290.68
